Time series;Closing price;MA;Trend;Trading signal
411;446.27;439.09733333333327;no;0.5
412;432.53;439.26333333333326;no;0.5
413;429.22;439.408;no;0.5
414;372.85;435.56000000000006;no;0.0
415;386.43;432.3233333333334;no;0.5
416;382.85;428.9306666666668;no;0.2900390625000024
417;385.0;425.874;down;0.08244766505636075
418;379.88;422.268;down;0.0
419;410.93;420.8706666666667;down;0.5
420;410.03;419.41666666666674;down;0.5
421;381.78;414.3493333333333;down;0.0
422;386.92;410.056;down;0.0
423;402.5;406.89266666666674;down;0.5
424;392.58;403.25066666666675;down;0.22119815668202422
425;390.66;399.36199999999997;down;0.36300505050505105
426;395.0;395.944;down;0.5
427;379.16;392.38599999999997;down;0.45070422535211707
428;379.44;389.0673333333333;down;0.5
429;376.6;389.3173333333333;no;0.5
430;370.0;388.22199999999987;no;0.0
431;371.5;387.46533333333326;no;0.34837545126353786
432;373.18;386.6773333333333;no;0.12388193202146729
433;367.64;385.8613333333333;down;0.0
434;390.0;384.466;no;0.5
435;385.88;382.856;no;0.5
436;374.27;382.3553333333333;no;0.36674528301886694
437;375.4;381.5873333333332;no;0.5
438;371.16;379.4979999999998;no;0.0
439;373.16;378.2033333333332;no;0.0
440;379.86;377.4833333333332;no;0.19120654396728115
441;377.99;376.3493333333332;no;0.0
442;382.88;376.5973333333332;no;0.0
443;389.51;377.26866666666666;no;0.0
444;403.95;379.0919999999999;no;0.3313253012048173
445;399.0;381.0253333333332;up;0.5
446;406.47;383.35666666666657;up;0.5
447;415.52;386.17933333333326;up;0.5
448;420.31;389.69066666666663;up;0.52479732951836
449;419.27;391.642;up;0.5
450;440.24;395.26599999999985;up;1.0
451;437.7;399.49466666666655;up;0.9924665178571418
452;437.97;403.666;up;1.0
453;420.05;406.9253333333333;up;0.5
454;422.61;410.22199999999987;up;0.5
455;423.51;413.132;up;0.5
456;427.8;416.45266666666674;up;0.5
457;431.06;419.66466666666673;up;0.5
458;432.16;422.50800000000004;up;0.5
459;436.62;424.686;up;1.0
460;433.31;426.97333333333336;up;1.0
461;425.18;428.2206666666667;no;0.5
462;420.27;428.53733333333327;no;0.5
463;409.97;427.848;no;0.5
464;398.5;426.4633333333333;no;0.0
465;404.78;424.0993333333333;no;0.0
466;414.76;422.57;down;0.5
467;412.13;420.84733333333327;down;0.0
468;412.66;420.35466666666656;down;0.0
469;416.5;419.9473333333333;down;0.39515072083879266
470;418.1;419.5866666666666;down;0.5
471;410.47;418.43133333333327;down;0.0
472;412.64;417.20333333333326;down;0.0
473;413.85;415.98266666666666;down;0.0
474;415.89;414.60066666666665;no;0.0
475;416.49;413.4793333333333;no;0.4027237354085606
476;418.49;413.0333333333333;no;0.5
477;408.21;412.2293333333333;no;0.0
478;408.94;412.16066666666654;no;0.0
479;411.34;413.01666666666654;no;0.0357142857142824
480;410.99;413.43066666666647;no;0.0
481;415.89;413.50599999999986;no;0.0
482;417.22;413.84533333333326;no;0.5
483;415.96;414.06533333333323;no;0.0
484;416.25;414.04866666666663;no;0.0
485;416.77;413.9599999999999;no;0.0
486;424.3;414.88199999999983;no;0.5
487;422.05;415.5093333333332;no;0.5
488;415.4;415.6126666666665;no;0.47727272727272463
489;413.09;415.42599999999976;no;0.0
490;415.51;415.3606666666665;no;0.017060367454067634
491;415.38;415.15333333333314;no;0.0
492;419.19;415.8853333333331;no;0.5
493;419.0;416.55599999999987;no;0.0443037974683568
494;418.65;417.0433333333331;no;0.0
495;422.6;417.8173333333332;up;1.0
496;421.63;418.1999999999999;up;1.0
497;419.84;418.3746666666665;up;1.0
498;418.13;418.5193333333331;no;0.0
499;418.37;418.6606666666665;no;0.0
500;420.77;418.92733333333314;no;0.0
501;422.08;418.77933333333306;no;0.0
502;425.91;419.0366666666664;no;0.5
503;423.26;419.5606666666664;no;0.0
504;424.51;420.32199999999983;no;0.0
505;429.25;421.2379999999997;up;0.8180661577608137
506;430.68;422.25799999999975;up;1.0
507;426.75;422.76199999999983;up;0.5
508;428.07;423.3666666666665;up;0.5
509;435.25;424.47333333333313;up;0.5
510;441.25;425.7166666666664;up;0.5
511;451.0;427.67466666666644;up;0.9558404558404554
512;447.8;429.5386666666664;up;0.5
513;451.31;431.75066666666646;up;0.5
514;459.4;434.48599999999976;up;0.5
515;465.99;437.50066666666646;up;0.9510710808179166
516;468.0;440.56199999999984;up;1.0
517;447.46;441.9986666666665;up;0.5
518;450.0;443.7813333333331;up;0.7044609665427518
519;454.77;445.7986666666664;up;1.0
520;446.7;446.9619999999997;no;0.20101781170483368
